"","choice","countries","sanctions"
"20401","Supported","160 of 192","15%"
"20409","Not supported","160 of 192","15%"
"20417","Not supported","20 of 192","None"
"20425","Supported","80 of 192","20%"
"20433","Not supported","80 of 192","None"
"20441","Supported","20 of 192","20%"
"20449","Not supported","80 of 192","20%"
"20457","Supported","80 of 192","15%"
"20465","Supported","80 of 192","5%"
"20473","Not supported","20 of 192","20%"
"20481","Supported","20 of 192","15%"
"20489","Supported","160 of 192","5%"
"20497","Not supported","160 of 192","5%"
"20505","Not supported","20 of 192","None"
"20513","Not supported","160 of 192","20%"
"20521","Not supported","20 of 192","5%"
"20529","Supported","20 of 192","5%"
"20537","Not supported","160 of 192","20%"
"20545","Not supported","80 of 192","None"
"20553","Not supported","20 of 192","5%"
"20561","Not supported","160 of 192","20%"
"20569","Supported","20 of 192","15%"
"20577","Not supported","80 of 192","None"
"20585","Supported","20 of 192","20%"
"20593","Not supported","80 of 192","20%"
"20601","Supported","80 of 192","5%"
"20609","Supported","160 of 192","20%"
"20617","Supported","160 of 192","20%"
"20625","Not supported","160 of 192","15%"
"20633","Not supported","20 of 192","None"
"20641","Not supported","20 of 192","20%"
"20649","Supported","80 of 192","20%"
"20657","Supported","160 of 192","None"
"20665","Supported","80 of 192","None"
"20673","Not supported","20 of 192","20%"
"20681","Supported","80 of 192","5%"
"20689","Supported","160 of 192","5%"
"20697","Supported","160 of 192","5%"
"20705","Supported","80 of 192","5%"
"20713","Supported","80 of 192","15%"
"20721","Supported","80 of 192","5%"
"20729","Not supported","20 of 192","5%"
"20737","Supported","20 of 192","5%"
"20745","Not supported","160 of 192","20%"
"20753","Not supported","80 of 192","15%"
"20761","Not supported","20 of 192","None"
"20769","Not supported","20 of 192","None"
"20777","Not supported","20 of 192","None"
"20785","Supported","160 of 192","5%"
"20793","Supported","20 of 192","20%"
"20801","Not supported","160 of 192","20%"
"20809","Supported","80 of 192","None"
"20817","Supported","160 of 192","20%"
"20825","Not supported","20 of 192","20%"
"20833","Not supported","20 of 192","5%"
"20841","Supported","80 of 192","15%"
"20849","Supported","80 of 192","20%"
"20857","Supported","20 of 192","20%"
"20865","Not supported","20 of 192","15%"
"20873","Supported","160 of 192","None"
"20881","Not supported","20 of 192","5%"
"20889","Not supported","20 of 192","None"
"20897","Not supported","160 of 192","15%"
"20905","Not supported","80 of 192","15%"
"20913","Supported","160 of 192","15%"
"20921","Not supported","20 of 192","None"
"20929","Supported","80 of 192","5%"
"20937","Not supported","20 of 192","None"
"20945","Not supported","80 of 192","20%"
"20953","Supported","20 of 192","5%"
"20961","Not supported","20 of 192","5%"
"20969","Not supported","20 of 192","15%"
"20977","Supported","160 of 192","None"
"20985","Not supported","20 of 192","None"
"20993","Not supported","80 of 192","15%"
"21001","Not supported","160 of 192","None"
"21009","Not supported","80 of 192","None"
"21017","Not supported","20 of 192","None"
"21025","Supported","20 of 192","15%"
"21033","Supported","160 of 192","15%"
"21041","Supported","80 of 192","None"
"21049","Not supported","20 of 192","None"
"21057","Supported","80 of 192","5%"
"21065","Not supported","160 of 192","5%"
"21073","Not supported","80 of 192","15%"
"21081","Not supported","80 of 192","5%"
"21089","Supported","160 of 192","20%"
"21097","Not supported","160 of 192","None"
"21105","Not supported","20 of 192","5%"
"21113","Not supported","160 of 192","5%"
"21121","Not supported","20 of 192","20%"
"21129","Supported","160 of 192","20%"
"21137","Supported","20 of 192","None"
"21145","Not supported","20 of 192","5%"
"21153","Supported","80 of 192","20%"
"21161","Supported","160 of 192","5%"
"21169","Supported","80 of 192","20%"
"21177","Supported","80 of 192","None"
"21185","Not supported","20 of 192","5%"
"21193","Supported","20 of 192","15%"
"21201","Supported","20 of 192","5%"
"21209","Supported","20 of 192","15%"
"21217","Supported","160 of 192","20%"
"21225","Not supported","160 of 192","20%"
"21233","Not supported","160 of 192","15%"
"21241","Supported","160 of 192","5%"
"21249","Supported","160 of 192","None"
"21257","Supported","160 of 192","15%"
"21265","Supported","160 of 192","None"
"21273","Supported","80 of 192","None"
"21281","Not supported","80 of 192","20%"
"21289","Not supported","20 of 192","20%"
"21297","Supported","80 of 192","20%"
"21305","Supported","80 of 192","15%"
"21313","Not supported","20 of 192","None"
"21321","Not supported","20 of 192","20%"
"21329","Supported","20 of 192","20%"
"21337","Supported","20 of 192","None"
"21345","Not supported","20 of 192","15%"
"21353","Supported","20 of 192","15%"
"21361","Supported","80 of 192","20%"
"21369","Supported","80 of 192","5%"
"21377","Supported","160 of 192","5%"
"21385","Not supported","160 of 192","15%"
"21393","Not supported","160 of 192","20%"
"21401","Not supported","20 of 192","20%"
"21409","Supported","20 of 192","20%"
"21417","Not supported","80 of 192","20%"
"21425","Not supported","80 of 192","None"
"21433","Not supported","20 of 192","5%"
"21441","Supported","160 of 192","5%"
"21449","Not supported","20 of 192","20%"
"21457","Not supported","160 of 192","None"
"21465","Supported","80 of 192","20%"
"21473","Not supported","160 of 192","None"
"21481","Not supported","80 of 192","20%"
"21489","Supported","160 of 192","15%"
"21497","Not supported","160 of 192","5%"
"21505","Supported","160 of 192","15%"
"21513","Supported","160 of 192","5%"
"21521","Supported","80 of 192","5%"
"21529","Supported","160 of 192","20%"
"21537","Supported","20 of 192","20%"
"21545","Supported","160 of 192","None"
"21553","Supported","20 of 192","5%"
"21561","Supported","20 of 192","20%"
"21569","Supported","160 of 192","20%"
"21577","Not supported","80 of 192","20%"
"21585","Not supported","80 of 192","5%"
"21593","Not supported","80 of 192","5%"
"21601","Supported","160 of 192","None"
"21609","Not supported","20 of 192","20%"
"21617","Supported","20 of 192","5%"
"21625","Not supported","80 of 192","20%"
"21633","Not supported","80 of 192","20%"
"21641","Supported","80 of 192","5%"
"21649","Not supported","20 of 192","15%"
"21657","Supported","160 of 192","5%"
"21665","Not supported","80 of 192","20%"
"21673","Supported","160 of 192","5%"
"21681","Supported","160 of 192","5%"
"21689","Not supported","160 of 192","20%"
"21697","Not supported","20 of 192","None"
"21705","Supported","160 of 192","5%"
"21713","Supported","20 of 192","5%"
"21721","Supported","80 of 192","20%"
"21729","Not supported","160 of 192","15%"
"21737","Not supported","160 of 192","20%"
"21745","Supported","20 of 192","15%"
"21753","Not supported","160 of 192","None"
"21761","Not supported","80 of 192","None"
"21769","Not supported","80 of 192","20%"
"21777","Supported","160 of 192","None"
"21785","Supported","20 of 192","20%"
"21793","Supported","160 of 192","5%"
"21801","Not supported","20 of 192","None"
"21809","Supported","80 of 192","15%"
"21817","Supported","160 of 192","20%"
"21825","Supported","80 of 192","15%"
"21833","Not supported","80 of 192","None"
"21841","Supported","160 of 192","20%"
"21849","Not supported","80 of 192","None"
"21857","Supported","160 of 192","None"
"21865","Supported","20 of 192","15%"
"21873","Not supported","80 of 192","5%"
"21881","Not supported","80 of 192","20%"
"21889","Supported","20 of 192","5%"
"21897","Supported","160 of 192","None"
"21905","Not supported","80 of 192","15%"
"21913","Supported","160 of 192","5%"
"21921","Supported","160 of 192","5%"
"21929","Not supported","80 of 192","15%"
"21937","Supported","80 of 192","5%"
"21945","Not supported","160 of 192","5%"
"21953","Supported","20 of 192","15%"
"21961","Supported","20 of 192","15%"
"21969","Not supported","160 of 192","15%"
"21977","Supported","80 of 192","None"
"21985","Supported","80 of 192","5%"
"21993","Supported","160 of 192","None"
"22001","Supported","160 of 192","20%"
"22009","Not supported","20 of 192","20%"
"22017","Supported","80 of 192","None"
"22025","Supported","160 of 192","5%"
"22033","Supported","20 of 192","20%"
"22041","Supported","20 of 192","None"
"22049","Not supported","20 of 192","5%"
"22057","Supported","20 of 192","15%"
"22065","Not supported","80 of 192","None"
"22073","Supported","160 of 192","None"
"22081","Supported","20 of 192","5%"
"22089","Supported","160 of 192","5%"
"22097","Supported","20 of 192","5%"
"22105","Not supported","20 of 192","15%"
"22113","Not supported","20 of 192","20%"
"22121","Not supported","160 of 192","20%"
"22129","Supported","80 of 192","None"
"22137","Supported","160 of 192","None"
"22145","Supported","80 of 192","5%"
"22153","Not supported","160 of 192","15%"
"22161","Supported","160 of 192","20%"
"22169","Not supported","160 of 192","20%"
"22177","Supported","160 of 192","15%"
"22185","Not supported","160 of 192","5%"
"22193","Supported","20 of 192","5%"
"22201","Not supported","20 of 192","15%"
"22209","Supported","20 of 192","15%"
"22217","Not supported","20 of 192","5%"
"22225","Not supported","20 of 192","15%"
"22233","Supported","80 of 192","20%"
"22241","Supported","20 of 192","20%"
"22249","Supported","20 of 192","None"
"22257","Supported","160 of 192","None"
"22265","Not supported","160 of 192","5%"
"22273","Not supported","20 of 192","None"
"22281","Supported","160 of 192","20%"
"22289","Supported","80 of 192","5%"
"22297","Not supported","20 of 192","15%"
"22305","Not supported","160 of 192","5%"
"22313","Supported","160 of 192","15%"
"22321","Not supported","20 of 192","15%"
"22329","Not supported","20 of 192","None"
"22337","Not supported","80 of 192","15%"
"22345","Supported","160 of 192","20%"
"22353","Not supported","80 of 192","20%"
"22361","Not supported","80 of 192","5%"
"22369","Not supported","20 of 192","None"
"22377","Not supported","160 of 192","15%"
"22385","Supported","20 of 192","5%"
"22393","Supported","20 of 192","20%"
"22401","Supported","80 of 192","15%"
"22409","Supported","20 of 192","15%"
"22417","Supported","80 of 192","15%"
"22425","Not supported","80 of 192","5%"
"22433","Supported","20 of 192","20%"
"22441","Supported","20 of 192","20%"
"22449","Supported","80 of 192","5%"
"22457","Not supported","160 of 192","20%"
"22465","Not supported","20 of 192","None"
"22473","Supported","20 of 192","15%"
"22481","Not supported","80 of 192","5%"
"22489","Not supported","80 of 192","15%"
"22497","Supported","80 of 192","None"
"22505","Supported","160 of 192","None"
"22513","Not supported","80 of 192","20%"
"22521","Not supported","20 of 192","5%"
"22529","Not supported","20 of 192","None"
"22537","Supported","80 of 192","None"
"22545","Supported","160 of 192","20%"
"22553","Not supported","80 of 192","None"
"22561","Not supported","80 of 192","20%"
"22569","Not supported","80 of 192","None"
"22577","Not supported","80 of 192","None"
"22585","Not supported","20 of 192","5%"
"22593","Supported","80 of 192","5%"
"22601","Supported","160 of 192","None"
"22609","Supported","160 of 192","20%"
"22617","Supported","80 of 192","15%"
"22625","Not supported","80 of 192","20%"
"22633","Not supported","20 of 192","15%"
"22641","Supported","20 of 192","20%"
"22649","Supported","160 of 192","20%"
"22657","Supported","20 of 192","None"
"22665","Supported","20 of 192","15%"
"22673","Not supported","160 of 192","5%"
"22681","Not supported","20 of 192","5%"
"22689","Supported","20 of 192","None"
"22697","Not supported","20 of 192","5%"
"22705","Not supported","80 of 192","None"
"22713","Not supported","20 of 192","None"
"22721","Not supported","20 of 192","20%"
"22729","Supported","20 of 192","15%"
"22737","Supported","80 of 192","15%"
"22745","Not supported","80 of 192","5%"
"22753","Supported","20 of 192","5%"
"22761","Not supported","80 of 192","20%"
"22769","Not supported","80 of 192","20%"
"22777","Supported","80 of 192","None"
"22785","Supported","80 of 192","None"
"22793","Not supported","80 of 192","15%"
"22801","Not supported","160 of 192","5%"
"22809","Not supported","160 of 192","20%"
"22817","Supported","80 of 192","15%"
"22825","Supported","80 of 192","5%"
"22833","Not supported","20 of 192","20%"
"22841","Supported","80 of 192","15%"
"22849","Supported","160 of 192","15%"
"22857","Supported","80 of 192","None"
"22865","Not supported","80 of 192","5%"
"22873","Not supported","80 of 192","None"
"22881","Supported","80 of 192","20%"
"22889","Supported","80 of 192","15%"
"22897","Not supported","160 of 192","None"
"22905","Not supported","20 of 192","20%"
"22913","Supported","160 of 192","None"
"22921","Not supported","80 of 192","5%"
"22929","Not supported","20 of 192","15%"
"22937","Supported","80 of 192","20%"
"22945","Supported","20 of 192","None"
"22953","Not supported","80 of 192","20%"
"22961","Not supported","160 of 192","None"
"22969","Supported","80 of 192","None"
"22977","Supported","160 of 192","15%"
"22985","Supported","80 of 192","5%"
"22993","Not supported","160 of 192","20%"
"23001","Not supported","80 of 192","15%"
"23009","Supported","20 of 192","None"
"23017","Supported","80 of 192","20%"
"23025","Not supported","80 of 192","20%"
"23033","Supported","20 of 192","15%"
"23041","Not supported","80 of 192","20%"
"23049","Not supported","80 of 192","None"
"23057","Not supported","20 of 192","15%"
"23065","Not supported","20 of 192","15%"
"23073","Not supported","160 of 192","5%"
"23081","Supported","80 of 192","None"
"23089","Not supported","160 of 192","None"
"23097","Not supported","20 of 192","None"
"23105","Not supported","160 of 192","None"
"23113","Supported","160 of 192","5%"
"23121","Not supported","20 of 192","5%"
"23129","Not supported","80 of 192","15%"
"23137","Not supported","160 of 192","20%"
"23145","Not supported","20 of 192","20%"
"23153","Supported","160 of 192","None"
"23161","Not supported","160 of 192","20%"
"23169","Supported","160 of 192","20%"
"23177","Not supported","160 of 192","15%"
