"","choice","countries","sanctions"
"5617","Supported","80 of 192","5%"
"5625","Not supported","20 of 192","15%"
"5633","Supported","160 of 192","15%"
"5641","Not supported","160 of 192","15%"
"5649","Not supported","80 of 192","20%"
"5657","Not supported","160 of 192","5%"
"5665","Supported","160 of 192","5%"
"5673","Supported","20 of 192","5%"
"5681","Not supported","160 of 192","5%"
"5689","Not supported","20 of 192","15%"
"5697","Supported","80 of 192","15%"
"5705","Supported","20 of 192","None"
"5713","Supported","160 of 192","15%"
"5721","Supported","20 of 192","20%"
"5729","Not supported","20 of 192","15%"
"5737","Not supported","160 of 192","15%"
"5745","Not supported","160 of 192","None"
"5753","Supported","160 of 192","None"
"5761","Not supported","80 of 192","15%"
"5769","Supported","20 of 192","5%"
"5777","Supported","160 of 192","5%"
"5785","Supported","20 of 192","20%"
"5793","Supported","160 of 192","20%"
"5801","Not supported","20 of 192","15%"
"5809","Supported","80 of 192","15%"
"5817","Supported","160 of 192","15%"
"5825","Supported","20 of 192","15%"
"5833","Not supported","160 of 192","20%"
"5841","Not supported","160 of 192","15%"
"5849","Not supported","80 of 192","20%"
"5857","Not supported","20 of 192","5%"
"5865","Supported","80 of 192","None"
"5873","Not supported","80 of 192","15%"
"5881","Not supported","20 of 192","20%"
"5889","Not supported","160 of 192","5%"
"5897","Not supported","160 of 192","5%"
"5905","Not supported","20 of 192","15%"
"5913","Not supported","80 of 192","20%"
"5921","Supported","80 of 192","15%"
"5929","Supported","80 of 192","20%"
"5937","Not supported","80 of 192","20%"
"5945","Supported","80 of 192","15%"
"5953","Not supported","20 of 192","20%"
"5961","Not supported","160 of 192","5%"
"5969","Supported","80 of 192","15%"
"5977","Supported","80 of 192","20%"
"5985","Supported","80 of 192","None"
"5993","Supported","160 of 192","5%"
"6001","Not supported","20 of 192","5%"
"6009","Not supported","80 of 192","20%"
"6017","Supported","20 of 192","15%"
"6025","Not supported","160 of 192","20%"
"6033","Not supported","20 of 192","None"
"6041","Not supported","80 of 192","15%"
"6049","Supported","20 of 192","5%"
"6057","Supported","160 of 192","15%"
"6065","Supported","20 of 192","5%"
"6073","Not supported","20 of 192","15%"
"6081","Supported","20 of 192","15%"
"6089","Supported","160 of 192","20%"
"6097","Not supported","160 of 192","5%"
"6105","Not supported","80 of 192","20%"
"6113","Supported","160 of 192","5%"
"6121","Not supported","160 of 192","20%"
"6129","Not supported","80 of 192","20%"
"6137","Supported","20 of 192","None"
